state,stressor,year,January-March,April-June,July-September,October-December
A*lab@ama,Di+sesase@s,2015,NA,NA,NA,0.2
Alabama,&Dise@s+ases,2016,4.3,0.3,NA,0.2
A$labam(a,Disesas@e+s,2017,0.2,NA,NA,8.8
A+labama,Dise%sas-es,2018,1.9,1.2,0.7,1.3
Alabama,Disesases,2019,1.8,NA,2.9,0.6
Al.abama,Disesas(e%s,2020,NA,1.6,NA,15.4
Ala&bama,D&ise%s!a(s*e&s,2021,NA,0.5,NA,NA
Alabama,O^ther,2015,9.1,3.2,2.2,2.8
Alabama,Ot-her,2016,2.4,4.8,3.2,6.7
Alabama,Other,2017,7.5,9.4,7.5,1.7
$Alabam#a,@O#th_er,2018,8.6,11.5,7.8,3.4
Alabama,Other,2019,3.1,NA,9.7,9
Al-a$ba(ma,Ot^h^er,2020,1.7,7.9,5.4,2.3
Alabama,O@the$r,2021,3.1,5.8,NA,NA
Alab&ama,Other_ pests/pa&r(asites,2015,5.4,42.5,70.6,6.4
Alabama,O*ther! pe@sts/parasites,2016,22,8.2,42,9.9
Alaba#ma,$Oth#e@r pests/pa&rasi)t)es,2017,10.9,13.6,22.1,10.1
Alabama,O#the%r )pe^sts/par*a+sites,2018,30.2,25.5,69.4,20.5
Alabama,Ot+her p.es&ts/(parasites,2019,22.7,NA,24.6,26.7
A$labama,Ot(he*r pests/para$si#tes,2020,3.4,18,29.1,43.2
A-labama,+O-ther p^e+s$ts/para+si!tes,2021,30.3,45,NA,NA
Alabama,Pesticid-es,2015,2.2,2.3,2.6,0.2
Alabama,P.e-stic_ide)s,2016,8.1,1.7,3.8,2.4
Alab#ama,^P*esticide*s,2017,3.6,4.2,35.4,9.5
Alabama,Pesti&cid#es,2018,14.9,13.1,14.6,1.5
Alabama,$Pe(stic!ides,2019,0.3,NA,0.2,4.9
Al%abama,Pe$st+ici!d+es,2020,0.1,7.7,12,2
Alabama,-Pest$icide+s,2021,NA,2.1,NA,NA
Alaba&ma,$U!nknown,2015,9.4,4.1,17.7,1.9
Alabama,U#nkn_ow_n,2016,11.3,5.4,13.8,3.3
Alabama,Unk*nown,2017,10.4,5.3,3.9,5.2
Alabama,Un*kn^own,2018,4.5,2.1,6.8,7.5
Alaba#ma,Unkn@own,2019,9,NA,6.4,11.3
A&laba*ma,U&n.kn-own,2020,4.3,9.5,11.7,16.9
Alabama,Unknow#n,2021,4,26,NA,NA
Alabama,Var(ro^a m%ites,2015,10,16.7,63.1,3.1
Alabama,Varro.a% #mite+s,2016,24.2,9.6,11.7,12.3
!Alabama,Var)roa mites,2017,15.3,17.9,69.5,22.3
Al!abama,Var$r%o$a +mites,2018,29.2,23.6,77.5,20.6
(Ala#bama,-Var)ro+a( !m$i$t_es,2019,27.2,NA,30.6,46.7
Alabama,_Varr^o*a %mit*e)s,2020,12.4,28.5,64.9,50.8
Alab%ama,^Varr_oa mites,2021,52.2,55.2,NA,NA
Ariz)ona,D$ise+sas_es,2015,0.1,0.5,5.4,1.1
Arizona,Disesa#ses,2016,NA,17.2,0.9,2.3
Arizona,Dis*esas&e+s,2017,3.8,19.4,0.5,2.3
Arizona,Dise^s#a.ses,2018,4.6,33.2,4.5,3.1
Arizona,!Dise@s@as^es,2019,6.5,NA,2.7,0.4
Arizona,Dis&esases,2020,0.1,NA,1.9,NA
Arizona,@Disesases,2021,5.9,3.6,NA,NA
Arizona,Ot$her,2015,1.8,28.2,7.6,0.5
Arizona,Other,2016,6.5,17.4,13.4,4.3
Arizona,Other,2017,6.5,20.1,12.4,4.1
Ariz*o+na,Other,2018,7.9,14.5,15,7.1
&Arizo*na,O(ther,2019,8.4,NA,13.2,4
Arizona,Ot+h*er,2020,10.1,5.5,9.3,2.3
Arizona,O#ther,2021,0.5,7.1,NA,NA
A(rizona,Oth%er p*es&ts/pa!r.asites,2015,20.5,32.1,24.8,1.7
Arizona,Other p&ests/.par(asit.es,2016,2.8,47.5,1,15.5
Arizona,Oth%er pests/para&s.ites,2017,2.1,15.6,0.4,4.2
Arizon#a,Oth+er! pests./p#arasites,2018,4.3,7.3,2.3,8.3
A+rizona,Other @pe_sts/.parasit+e&s,2019,7.9,NA,9.9,1.5
Arizona,O+t&he!r pes!ts/parasites,2020,0.1,NA,NA,NA
Arizona,&O$t*her% pests_/p(ar%a!sit)e^s,2021,5.9,NA,NA,NA
Arizona,%P-esticides,2015,NA,20.1,17.3,3.5
A!rizona,Pesticide.s,2016,7.7,12,13.5,6.5
Arizona,^Pestic&ides,2017,1.7,12.2,1.1,1.6
Arizona,P)estici+des,2018,15.3,0.8,3.8,NA
Arizon#a,Pe!st%ici@de@s,2019,16.2,NA,11.4,23.3
#Arizona,Pe$st)i+cid^es,2020,NA,4.2,1.7,4.5
Arizona,Pes)ticide@s,2021,NA,1.2,NA,NA
Arizona,$Un_kno^wn,2015,3.1,0.3,5.1,15.5
Ar^izo$na,!U.nk&n%own,2016,7.2,3.5,8.9,3.2
Arizona,Un*kn%own,2017,2.1,0.7,6.3,0.1
Arizo@na,_U+nkno@wn,2018,4.2,3.7,27.6,3
Ari*zona,Un*kn(own,2019,0.2,NA,0.6,2.9
%Arizon)a,Unk_n(own,2020,9,0.6,12.2,18.3
@Arizona,^Un@kno_wn,2021,4.2,6.9,NA,NA
Ariz-ona,Varroa% mite$s,2015,26.9,8.4,53.5,50.1
Arizona,Varr_oa+ mites,2016,32.8,26.8,41.7,98.8
Arizona,V(arr#oa* +mit&e$s,2017,35.6,57.8,19.8,61.6
Arizona,(Va#rr*oa mites,2018,36.3,48.8,52.5,20.6
Arizona,Varroa mites,2019,25.8,NA,29,53.9
Arizona,Varroa mites,2020,31.7,22.1,24.1,22.5
Arizona,V^arroa m(ite%s,2021,4.6,6.4,NA,NA
Arkansas,D-isesases,2015,1.5,7,0.9,0.1
Arkansas,$Di)sesase&s,2016,NA,5.5,0.4,NA
Arkansas,Dise!sa_ses,2017,NA,2.4,NA,26.6
Arkansas,D!isesas&es,2018,1,0.9,0.1,NA
Arkansas,Di#sesase_s,2019,3.3,NA,6.8,1.4
Arkansas,-Dis!e.sas+es,2020,0.2,5.1,3.9,1.7
Arkan-sas,^Dis#esa-ses,2021,NA,5.9,NA,NA
Arkansas,O_th^er,2015,1,27.4,1.8,8.5
Arkansas,O@ther,2016,1.9,3.4,2.7,1.1
Ark#ans(a&s,_O@t^he@r,2017,3.6,3.4,9.3,24.1
Arkansas,Other,2018,4.6,11.4,0.5,5.3
Ark(ansas,!Other,2019,0.7,NA,6.9,12.5
A&rkansas,O_ther,2020,0.4,2.1,1.3,5.9
Arkansas,Ot(her,2021,3.8,2.1,NA,NA
Arkansas,Oth+er* $pests/p+arasi#tes,2015,11.4,63.4,32.4,9.7
.Arka+nsas,Ot_her pest%s/p@aras-it_e@s,2016,7,8.5,9,4.8
@Arkansas,Other p@ests/+pa-ras&ites,2017,13.8,12.2,9.1,29.2
Arkansas,O.th@er pe!sts/parasite$s,2018,9.6,16,7.8,7.1
Ar.kansas,#O*th.e@r pest%s/par_a_si@te$s,2019,1.5,NA,19.7,39.7
Arkansas,O@ther) pests/p-a_ras*ites,2020,22.7,15.3,15.6,12.9
Ar@kansas,O(t+her !pes#ts/paras%ite)s,2021,19.6,23,NA,NA
Ar^kansa#s,Pe+st_ic@i_d$es,2015,3.4,22.6,5,8.2
Ar+kansas,Pe-st@ici@des,2016,0.5,0.1,7.9,1.3
Arka*nsas,Pe+s+ti&ci*des,2017,0.3,4.9,17,31
Ar@kansa)s,-P^esticid$es,2018,23,2.8,17.6,73.5
Arkansas,#Pestic^ides,2019,55.3,NA,50.5,7.8
Arkansas,Pe^s.ti-cides,2020,2.6,24.6,13.9,12.8
Arkansas,Pest$icid.es,2021,14.2,2.9,NA,NA
Arkan@sas,(Unk@no^wn,2015,1,9.3,1.4,0.6
Ark+ansas,-Unknow-n,2016,8.1,1.6,0.3,3.3
&Arkansas,Unkn#own,2017,0.6,3.1,2.3,0.4
Arkansas,Unkno#wn,2018,13.9,16.6,0.6,2.2
Ar.kansas,Un!known,2019,2.9,NA,39.3,32.8
)Arkansas,Unkno(wn,2020,11.2,12.4,8.6,5.7
A!rkansas,Unk$nown,2021,2.6,3.7,NA,NA
Arkansas,Varr+oa^ mites,2015,17.6,65.9,69.2,38.1
Arkans.as,Varroa_ mites,2016,57.5,84.9,80.7,21.1
Ark-ansas,!V^ar$r@oa@ mite$s,2017,23.7,24.5,61.4,37.5
Ar^kansas,%Var*r)oa* &mites,2018,21.1,35.5,29.9,82.8
Arkan@sas,$Varroa mit!es,2019,19.5,NA,53.2,47.7
A(rkansas,Var(roa &m!i@te_s,2020,31.7,40.5,33.9,43.1
Arkansas,Varroa. m+ites,2021,28.5,44,NA,NA
California,-Dise-sa_ses,2015,3,7.8,12.5,6.2
Californi*a,D&ises(a&ses,2016,9,11.2,8.5,8
Ca)lifor(n+i.a,Di-sesa+ses,2017,7.6,2.9,5.6,7.4
)California,!Disesa.ses,2018,4.8,11.2,4.5,9.8
Ca+lifornia,Dises-ases,2019,6.4,NA,8.7,5.2
Cali-fornia,Disesa#ses,2020,5,3.9,7.3,7.1
California,Dises(ases,2021,1.7,7.7,NA,NA
California,Oth)er,2015,6.5,14.2,15,10.5
California,Ot#h^e&r,2016,8.4,15.3,10.4,9.6
California,Oth$er,2017,6.6,4.7,10.1,17.1
California,&O)th.er,2018,8,9.1,12,9.3
California,Othe*r,2019,8.7,NA,11.1,8
Ca)l(i_fornia,O@ther,2020,5.3,7.5,8.1,4.2
Californi.a,$O@ther,2021,6.2,11.6,NA,NA
California,Other pests@/par@asi)tes,2015,7.2,21.5,20.4,12.7
California,Oth&e+r- pests/pa&rasites,2016,15.2,14.1,17.8,13.7
Cali+fornia,Other pe+s^ts/parasi$tes,2017,12.8,7.5,15.8,14.1
Califor&ni.a,Ot%h#e&r pes!ts_/para_sites,2018,11.3,10.2,6.6,16.6
Calif-orni-a,O_t)her pe%s#ts/pa$rasites,2019,13.4,NA,11.5,10.9
Calif_ornia,Other +pe.st+s/para.sites,2020,6,4.7,11.4,11.1
California,O&ther pests/parasit*es,2021,5.7,11.5,NA,NA
California,Pest!ic-id-es,2015,7.5,23,19.6,11.7
California,P%es#ticides,2016,12.6,14.2,18.8,9.1
California,Pe^sti-ci%des,2017,9.2,12.4,13.4,17
Californ@ia,$P*esticide+s,2018,11.5,13.8,17.8,11.6
California,Pesti(c^id.es,2019,12.3,NA,16,11.3
California,$Pesticid@es,2020,5.3,5.4,6.3,4.8
California,Pestici-de*s,2021,7.2,16.1,NA,NA
California,Unknown,2015,2.8,3.1,4.7,7.3
.California,*Unk+now&n,2016,4.3,2.6,6.9,3.5
California,Unknown,2017,6.3,3,3.6,6.3
C-alifo!r^ni!a,+Unkn@o!wn,2018,4.9,5.1,3.6,7.1
Califo_rnia,Unknown,2019,5.6,NA,3.2,5
C^ali^for(nia,Un%know$n,2020,4.2,3,3.6,4
California,Unkno$wn,2021,3.4,3.8,NA,NA
Ca-lif*o^rnia,Varroa mites,2015,24.7,50.9,39.9,37.3
California,Var_roa# mites,2016,38.5,49.7,42.2,41.9
Ca^lifornia,Varr)oa^ mit-es,2017,38,36.1,42.3,47.9
California,$V!arr!oa mi.tes,2018,41.4,41.9,57.3,44.1
California,-Va^rroa m_ites,2019,43.5,NA,49,40.5
California,V#arr$o.a m-ites,2020,22.4,33.4,33.9,45.5
C.alifornia,Varro$a *mites,2021,29.9,42.4,NA,NA
Colorado,D@ises!a-ses,2015,1.8,4.6,2.7,21.2
Colorado,Dises(as%e*s,2016,0.6,3.3,16.8,0.1
Colorado,Dise^s#ases,2017,NA,5.3,2.6,0.2
Colorado,D+isesases,2018,3.8,13.1,5.6,1
Colorado,Dis#esa_s-es,2019,NA,NA,4.8,NA
Colorado,Dis!esases,2020,0.1,0.1,NA,NA
Colorado,Di&se*sases,2021,NA,NA,NA,NA
Colorado,Other,2015,2.6,3.4,3.7,8.4
Colorado,Other,2016,3,2.6,10.6,13
Colorado,Other,2017,2.6,4.7,7.8,15.5
)Colora)do,^O@ther,2018,13.7,4.3,8.5,6.1
Colorado,Ot*h)er,2019,2.5,NA,9.4,2.6
Colo%rado,Other,2020,10.8,0.5,6.3,0.9
Colorado,O*t%her,2021,1.1,NA,NA,NA
Colorad&o,Ot+her$ pes$ts/pa(rasites,2015,0.9,1.8,1.5,24.4
Color+ado,^Other! *p@ests/^p$a)rasi@t-e$s,2016,4.7,0.8,22.4,1.3
C+o*lorado,-Other^ pe&sts/pa_rasites,2017,NA,0.9,1.4,0.7
Colorado,+Other pests/pa$ras&it$e)s,2018,0.8,NA,16.6,5.9
Colorado,^Other pes%ts*/pa-r^as^ite%s,2019,0.3,NA,12.5,1.5
Colorado,Other pests/!paras^ites,2020,NA,0.1,1.1,NA
Colora&do,Ot*her pests/parasi*tes,2021,NA,NA,NA,NA
Colora)do,Pestic-i(des,2015,0.6,2.8,16.5,19.7
Colorado,$Pesticide@s,2016,0.3,1.4,24.6,3.1
Colorado,Pest%ic)ides,2017,0.9,3.2,9.1,20
Colorado,-Pesti$cides,2018,0.5,3.7,2.9,NA
Colorado,P!e%stic+i%de-s,2019,NA,NA,10.2,15.3
C@o$lorad+o,^Pe(sticides,2020,0.4,NA,NA,NA
Colorado,Pest+ic!id!es,2021,NA,NA,NA,NA
Colorado,Unknown,2015,5.9,6.6,2.7,1.8
Colo%r#ado,+Unkno)wn,2016,0.2,0.3,0.1,0.1
Co@lorado,Unkn+own,2017,0.4,0.1,1.4,5.3
Colorado,Unknown,2018,2.4,0.4,4.5,1.2
Colorado,@Unk*no*wn,2019,0.6,NA,1,0.8
Colorado,-Un!known,2020,2.4,2.5,19.8,1.5
Color%ado,Unk)nown,2021,7.8,3.3,NA,NA
C(olo&rado,#Varroa m(ites,2015,14.6,38.6,50.5,47.6
Colorado,V+arr^oa m_ites,2016,3.5,38.7,49.3,32.4
Colorado,V(a_rr+o@a mites,2017,17,31.6,52.9,30.2
Colorad.o,+V%a%r^ro%a! mit.es,2018,31.7,42.8,72.6,73.2
Colorado,Va.rro-a mite%s,2019,11.2,NA,79.8,67.7
C&ol_orado,V&arro@a! m^ite)s,2020,20.8,35.4,23.1,14.9
Colorado,Va&rroa m&ite#s,2021,2.1,47.6,NA,NA
Connecticu+t,$Dis#esa@ses,2015,NA,1.9,0.4,0.5
Connecti*cut,D#i_se@sa!ses,2016,0.2,0.5,NA,1.1
Conne+ctic+ut,Disesases,2017,NA,NA,0.1,NA
*Connec$tic(ut,Disesas!es,2018,NA,0.4,NA,2.3
-Connecticut,Dises^a)ses,2019,NA,NA,2.4,2.4
Connecti+cut,D#ises*as#e^s,2020,0.4,NA,NA,0.1
Con(necticut,Di$s^esa&ses,2021,NA,0.1,NA,NA
Connec(ticut,%O%ther,2015,21.2,1,7.8,3.4
Connecticut,Oth.er,2016,7.7,4.4,5,5.8
Connecticut,-O^th.er,2017,6.1,2,13,1.6
!Connecticu#t,!Other,2018,7.7,0.8,2.5,4.2
Connecticut,O_ther,2019,3.6,NA,3.9,1.7
Con-ne+ct#icut,Ot+he.r,2020,2.8,0.1,4,4.3
Con*necticu$t,Othe-r,2021,1.6,1.2,NA,NA
C#on!necti_cut,Other pe_sts/pa%rasi-t-es,2015,1.4,0.4,1.2,1.7
Con+ne-cticut,Other pests/_p&ar&a.sites,2016,0.8,0.6,1.6,6.6
Connecticut,Other pests!/parasites,2017,1.5,0.2,1.5,2.8
Co+nne!ctic#ut,!Oth*e%r pests/parasites,2018,0.7,0.9,NA,3.6
Connectic*ut,Ot+her pests/+pa^ra%si*tes,2019,1.3,NA,6.9,11.1
$Co^nnecticut,Oth^e%r. pe#sts/$para+sit(es,2020,2.9,2.1,1.4,0.9
Connecticut,Oth&er p_e#sts#/pa^ra+si.tes,2021,3.5,0.7,NA,NA
C&onnecticut,Pesti)ci+des,2015,NA,0.8,1.5,1.1
Connectic*ut,Pe_stic*ides,2016,NA,0.3,0.2,1
Connecticut,Pesti#c)id^es,2017,NA,0.5,NA,0.6
.Co!n%n.ecticut,Pes-ticides,2018,0.8,0.8,1.4,0.9
+Conne.c^tic!ut,P(esticides,2019,NA,NA,NA,NA
Connecticut,Pesticide)s,2020,NA,NA,NA,NA
Connecticut,Pes(ticid_es,2021,0.5,NA,NA,NA
C)onnec&ticut,-Unknow!n,2015,2.4,0.7,NA,2
Connec_ticut,U$nkno(w(n,2016,1.7,1.2,0.8,3.2
Connecti_cu$t,U(nknown,2017,5.6,0.7,NA,1.6
Connecticut,-Unknow)n,2018,3.5,0.4,1.2,2.3
Connecti-cu*t,$Unknown,2019,1.7,NA,0.5,1.6
Connecticut,Unknown,2020,3,0.6,NA,8.2
Conne$cticut,!U#n^know%n,2021,1,NA,NA,NA
Connecticut,V$arr.oa mites,2015,2.5,10.2,39.3,10.5
!Connecticut,V_arroa mi$te!s,2016,12.3,9.3,18.8,14.7
Connecticut,Varr*oa (mite.s,2017,51.5,9.7,25.1,36.4
Connecticut,V*a&rroa m&i.tes,2018,14.5,11.1,13,12.5
Connecticut,^V)arroa mi#t(es,2019,10.1,NA,24.3,22.2
Connecti+cut,Varroa m(it*e^s,2020,11.2,14.8,20.2,49.4
_Con*necti+c&ut,Varro*a m*it_e*s,2021,17.8,16,NA,NA
Florida,Dise*sases,2015,0.8,2.7,6.7,2.5
Florida,D+i!se*sases,2016,0.5,10,2.7,7.7
Flori*da,D+is@e#s*ase)s,2017,1.5,6.1,3.7,7.5
Florid&a,#Dise!s)as!e!s,2018,4.5,9.7,4.2,9
F(l(orida,D&is(esase)s,2019,5.5,NA,6.3,7.8
Fl)orida,)Di!sesases,2020,5.5,3.2,12.8,10.4
Florid+a,Dises*ase!s,2021,5.6,4.3,NA,NA
Florida,Other,2015,5.1,13.6,21.9,3
Fl$orida,Other,2016,1.9,10.1,8.5,13.6
Florida,Other,2017,6.2,6.4,11.4,7.6
^Fl.orida,Other,2018,5.5,10.1,14.3,8
Flor!ida,Other,2019,7.4,NA,11.7,7.8
F)lorida,Othe.r,2020,8.7,5.5,7.9,2.3
Flor_ida,+O+ther,2021,6.3,6.3,NA,NA
Flor*ida,.Othe!r_ pest!s/!parasites,2015,13.5,26.4,21.7,18.4
Florida,Ot$h(er pests/p&ara_s$it-e@s,2016,6.3,23.3,23.4,27.1
F+lorida,Oth(er $pe(sts/)parasites,2017,14.8,14.3,13.2,16.8
Flori&da,Othe.r &pe@sts/-parasites,2018,15.3,27.6,20.5,22.4
Florid!a,Other _pes_ts@/p(arasites,2019,24.8,NA,20.7,25.6
*Fl_or!ida,Other- pe-sts/$pa_rasit+es,2020,14.2,15.2,19.9,21.7
Florida,Other pests/pa^r-asit(es,2021,11.9,22.8,NA,NA
Flor*ida,Pesti*cides,2015,8.9,17.7,22.9,6.8
Fl-orid$a,Pest$i^c-id@es,2016,5.4,11.6,9.9,17
Florida,@Pes_ticid^e#s,2017,14.2,9,6.3,10.4
F@lorid%a,^P@estic@ides,2018,9.2,15.6,7.6,14.1
Fl!orida,^Pesticides,2019,22.9,NA,18.2,11.7
Florida,*Pesti&ci^des,2020,5.3,5.5,14.8,19.6
Florida,Pesticid&es,2021,6.6,10.2,NA,NA
Flo&rida,Unkno%w$n,2015,4.4,5.4,3.4,4.2
-Florida,Un_know!n,2016,1.5,2,1.8,6.5
Florid.a,Unkn-own,2017,17.9,18.6,21.5,26.2
Florida,Unk@n(o(wn,2018,16,21.1,9.8,6.7
Florida,Unkno#w@n,2019,5.5,NA,10.8,4.8
Florida,!Unknown,2020,10.9,7.5,10.9,7.5
Flo(rid)a,Unknow&n,2021,3.4,7.7,NA,NA
Florida,)Va-rroa mites,2015,22.3,44.2,39.5,27.3
#Flor)ida,Varroa m@i-tes,2016,21.7,48.2,45.1,30.9
Florida,V.arroa mites,2017,37.6,36.3,42.9,41.4
Flori(da,Varroa mites,2018,31.7,45,35,46.7
Florida,Varroa mites,2019,46.9,NA,44.9,43.5
Florida,$Varroa mit(es,2020,28,31.4,42.2,45.7
Fl&orida,*Varroa ^m(ites,2021,34.7,43.3,NA,NA
Georgia,Dise&s.ases,2015,3.3,2.9,3.6,5.3
Georgia,Disesa+ses,2016,2.1,2,2.4,3.7
Georgia,Dises%a&ses,2017,0.2,1,2.3,12.3
Georgia,Dis.e*sas_es,2018,0.9,13.9,2.4,9.2
Georgia,D)isesa_s^e-s,2019,7.4,NA,1.6,5.6
Geor.gi$a,Dis*esases,2020,0.2,7.1,3.5,1.8
Georgi^a,Di)se&s(ases,2021,8.9,5.2,NA,NA
+Georgia,O.ther,2015,4.8,11.5,8.9,3.7
Geo&rgia,Other,2016,3.1,11.7,7.6,4.1
)Georgia,^O)t*her,2017,4.4,6.3,15.1,3.6
Georgia,Ot-her,2018,27.1,31.6,6,5.6
^Georgia,O.t^her,2019,10.6,NA,17.1,2.6
Georgia,Oth_er,2020,0.4,8.1,5.3,1.9
Georgia,@Other,2021,4.1,5.2,NA,NA
Geo*rgia,Oth.er+ pests/parasites,2015,4.9,17.5,16.2,13.9
Geor%gia,#Other pes-ts/p-arasites,2016,7.7,28.4,16.4,8.6
Geo%rgia,Other p$ests@/-p*arasites,2017,7,5.6,18,15.1
Ge)o^rgia,O(ther )pests/p&ar.asite^s,2018,18.7,25.6,20.4,17.4
Georgia,@Othe(r p(es&ts./p!ara.si.te#s,2019,17.8,NA,18.6,18.2
Georgia,Other pes_ts/parasites,2020,3.4,20.2,22.5,12.9
Georgia,Ot$h+e%r pest.s/par!a_s&ite)s,2021,14.4,13.7,NA,NA
-Georgia,Pesticid&es,2015,2.6,28.7,21.2,4.5
Georg%ia,Pe(s_ticid.es,2016,21.3,28.4,12.1,7.6
Georg%ia,Pesticides,2017,2.6,6.7,14.1,15.3
Georgia,Pestici.des,2018,14.8,14.8,27.7,6.9
Georg&ia,Pestici^d!es,2019,9.6,NA,25.8,9.1
Georgia,Pest(ic$i@d$es,2020,0.3,3,3.4,7.5
Geor)gia,.P+e@s+ti$c+ides,2021,1.5,2.8,NA,NA
Georgia,^Un!know&n,2015,10.5,4.1,3.6,1.3
&Georgia,Un^known,2016,3.9,2.7,4.5,2.5
Georgia,U(nk*n+ow_n,2017,1.8,2.8,6.9,4.6
G%eorgia,Un+kn%o.w@n,2018,2.1,9.6,7.2,7.8
Georgia,^Un#kno@w*n,2019,4.9,NA,4.6,4.4
Georgia,Unknown,2020,7.5,13.8,13,6.7
Georgia,Unkno)wn,2021,4.6,5.8,NA,NA
